# These data are released on the conditions that neither the USGS nor the United States Government may be held liable for any damages resulting from its use.
#
#SITE_ABB: A text abbreviation of the site name primarily for use within the National Water Quality Program
#SITE_QW_ID: Unique USGS station number indicating location where water-quality samples are collected (Note that opening this file in Excel may cause leading zeros to be dropped from this field unless imported into an open worksheet and changing columns A and B to text)
#SITE_FLOW_ID: Typically a unique USGS station number indicating location where streamflow data is recorded. In some instances these data are obtained from outside sources--in those cases the site number used by that entity is displayed. If no site number is available an abbreviated indicator of the collecting agency is displayed  (Note that opening this file in Excel may cause leading zeros to be dropped from this field unless imported into an open worksheet and changing columns A and B to text) 
#CONSTIT: A character abbreviation indicative of the water-quality constituent being reported. Values include NO3_NO2: nitrate plus nitrite filtered as N; TN: total nitrogen as N; TP: total phosphorus as P; SSC: suspended-sediment concentration; NH3: ammonia filtered as N; OP: orthophosphate filtered, as P; SI: silica filtered as SiO2; CHL: Filtered chloride; TDS: Total Dissolved Solids
#WY1: A numeric identifier of the water year representing the beginning of the trend period. A water year is defined as the 12-month period from October 1 for any given year through September 30 of the following year. The water year is designated by the calendar year in which it ends. This field will be represented by a single water year with the exception for trends to the Gulf of Mexico (SITE_ABB = GULF), which will be represented by the mean of 1980-1996.  For this case WY1 will be 1980-1996.
#WY2: A numeric identifier of the water year representing the end of the trend period.  A water year is defined as the 12-month period from October 1 for any given year through September 30 of the following year. The water year is designated by the calendar year in which it ends.
#MODTYPE: A character indicator of the type of model used to compute water-quality trends on annual flow-normalized loads or concentrations as indicated in Lee and others (2017). Values include WRTDS_FNG indicating flow-normalized loads computed using the WRTDS generalized flow-normalization method; and WRTDS_FNS indicating flow-normalized loads computed using the WRTDS stationary flow-normalization method
#PERC_L: Percentage change in annual, flow-normalized loads among water years
#PERC_L_L90: Lower 90-percent confidence interval of the trend in annual flow-normalized loads among water years.
#PERC_L_U90: Upper 90-percent confidence interval of the trend in annual flow-normalized loads among water years.
#PERC_C: Percentage change in annual, flow-normalized concentration among water years
#PERC_C_L90: Lower 90-percent confidence interval of the trend in annual flow-normalized concentration among water years.
#PERC_C_U90: Upper 90-percent confidence interval of the trend in annual flow-normalized concentration among water years.
"SITE_ABB","SITE_QW_ID","SITE_FLOW_ID","CONSTIT","WY1","WY2","MODTYPE","PERC_L","PERC_L_L90","PERC_L_U90","PERC_C","PERC_C_L90","PERC_C_U90"
"STFR","07373420","1100","TDS","1991",2021,"WRTDS_FNG",8,1,14,7,-1,12
"STFR","07373420","1100","TDS","2001",2021,"WRTDS_FNG",9,2,14,6,-2,10
"STFR","07373420","1100","TDS","2011",2021,"WRTDS_FNG",4,-4,9,3,-5,8
"STFR","07373420","1100","TN","1980-1996",2021,"WRTDS_FNG",-24,-39,-18,-24,-42,-18
"STFR","07373420","1100","TN","1981",2021,"WRTDS_FNG",-27,-38,-20,-27,-42,-20
"STFR","07373420","1100","TN","1991",2021,"WRTDS_FNG",-16,-29,-9,-15,-31,-8
"STFR","07373420","1100","TN","2001",2021,"WRTDS_FNG",-8,-23,0,-8,-25,-1
"STFR","07373420","1100","TN","2011",2021,"WRTDS_FNG",-8,-22,0,-7,-24,0
"STFR","07373420","1100","TP","1980-1996",2021,"WRTDS_FNG",3,-8,16,1,-9,14
"STFR","07373420","1100","TP","1981",2021,"WRTDS_FNG",1,-13,19,-3,-16,14
"STFR","07373420","1100","TP","1991",2021,"WRTDS_FNG",1,-12,16,1,-12,15
"STFR","07373420","1100","TP","2001",2021,"WRTDS_FNG",-7,-20,8,-5,-18,10
"STFR","07373420","1100","TP","2011",2021,"WRTDS_FNG",-12,-22,3,-11,-20,2
"STFR","07373420","1100","CHL","1981",2021,"WRTDS_FNS",7,-3,16,5,-5,13
"STFR","07373420","1100","CHL","1991",2021,"WRTDS_FNS",7,-5,17,3,-8,12
"STFR","07373420","1100","CHL","2001",2021,"WRTDS_FNS",3,-6,12,2,-8,9
"STFR","07373420","1100","CHL","2011",2021,"WRTDS_FNS",-1,-10,8,-3,-13,6
"STFR","07373420","1100","DOC","2001",2021,"WRTDS_FNS",-8,-14,-3,-8,-14,-3
"STFR","07373420","1100","DOC","2011",2021,"WRTDS_FNS",-8,-14,-4,-9,-15,-5
"STFR","07373420","1100","NH3","1981",2021,"WRTDS_FNS",-86,-108,-69,-86,-108,-70
"STFR","07373420","1100","NH3","1991",2021,"WRTDS_FNS",-67,-81,-56,-70,-83,-61
"STFR","07373420","1100","NH3","2001",2021,"WRTDS_FNS",-45,-67,-20,-44,-67,-24
"STFR","07373420","1100","NH3","2011",2021,"WRTDS_FNS",-28,-62,-7,-25,-58,-6
"STFR","07373420","1100","NO23","1981",2021,"WRTDS_FNS",-18,-36,-10,-15,-38,-6
"STFR","07373420","1100","NO23","1991",2021,"WRTDS_FNS",-10,-31,0,-8,-34,2
"STFR","07373420","1100","NO23","2001",2021,"WRTDS_FNS",-10,-31,0,-8,-33,1
"STFR","07373420","1100","NO23","2011",2021,"WRTDS_FNS",-8,-28,2,-8,-33,2
"STFR","07373420","1100","OP","1991",2021,"WRTDS_FNS",15,-3,25,14,-6,24
"STFR","07373420","1100","OP","2001",2021,"WRTDS_FNS",10,-6,19,7,-11,16
"STFR","07373420","1100","OP","2011",2021,"WRTDS_FNS",-5,-19,3,-7,-23,1
"STFR","07373420","1100","SI","1981",2021,"WRTDS_FNS",12,0,19,13,-5,22
"STFR","07373420","1100","SI","1991",2021,"WRTDS_FNS",14,2,22,16,-1,27
"STFR","07373420","1100","SI","2001",2021,"WRTDS_FNS",16,4,24,14,-4,24
"STFR","07373420","1100","SI","2011",2021,"WRTDS_FNS",5,-6,12,2,-13,10
"STFR","07373420","1100","SSC","2001",2021,"WRTDS_FNS",-37,-51,-21,-31,-43,-16
"STFR","07373420","1100","SSC","2011",2021,"WRTDS_FNS",-17,-32,3,-14,-27,2
"STFR","07373420","1100","TDS","1981",2021,"WRTDS_FNS",5,-2,9,5,-2,9
"STFR","07373420","1100","TDS","1991",2021,"WRTDS_FNS",6,-1,11,7,-1,13
"STFR","07373420","1100","TDS","2001",2021,"WRTDS_FNS",7,0,12,7,-1,11
"STFR","07373420","1100","TDS","2011",2021,"WRTDS_FNS",3,-4,9,3,-6,8
"STFR","07373420","1100","TN","1980-1996",2021,"WRTDS_FNS",-28,-43,-22,-24,-42,-19
"STFR","07373420","1100","TN","1981",2021,"WRTDS_FNS",-29,-40,-22,-27,-42,-21
"STFR","07373420","1100","TN","1991",2021,"WRTDS_FNS",-18,-31,-11,-15,-31,-8
"STFR","07373420","1100","TN","2001",2021,"WRTDS_FNS",-11,-26,-2,-8,-25,-1
"STFR","07373420","1100","TN","2011",2021,"WRTDS_FNS",-8,-22,0,-7,-24,0
"STFR","07373420","1100","TP","1980-1996",2021,"WRTDS_FNS",1,-10,14,1,-9,14
"STFR","07373420","1100","TP","1981",2021,"WRTDS_FNS",-1,-14,17,-3,-16,14
"STFR","07373420","1100","TP","1991",2021,"WRTDS_FNS",-1,-14,14,0,-12,15
"STFR","07373420","1100","TP","2001",2021,"WRTDS_FNS",-9,-22,6,-5,-18,10
"STFR","07373420","1100","TP","2011",2021,"WRTDS_FNS",-12,-22,3,-11,-20,2
"MELV","07381495","3045","CHL","1981",2021,"WRTDS_FNG",-6,-21,8,-15,-32,0
"MELV","07381495","3045","CHL","1991",2021,"WRTDS_FNG",-7,-23,9,-12,-30,5
"MELV","07381495","3045","CHL","2001",2021,"WRTDS_FNG",6,-11,22,0,-20,18
"MELV","07381495","3045","CHL","2011",2021,"WRTDS_FNG",8,-10,25,6,-15,25
"MELV","07381495","3045","DOC","2001",2021,"WRTDS_FNG",-5,-13,3,-5,-13,2
"MELV","07381495","3045","DOC","2011",2021,"WRTDS_FNG",-4,-12,4,-4,-12,3
"MELV","07381495","3045","NH3","1981",2021,"WRTDS_FNG",-80,-111,-34,-81,-108,-39
"MELV","07381495","3045","NH3","1991",2021,"WRTDS_FNG",-63,-81,-50,-61,-80,-47
"MELV","07381495","3045","NH3","2001",2021,"WRTDS_FNG",-32,-64,-7,-29,-59,-6
"MELV","07381495","3045","NH3","2011",2021,"WRTDS_FNG",-19,-60,5,-11,-51,13
"MELV","07381495","3045","NO23","1981",2021,"WRTDS_FNG",-20,-40,-6,-21,-47,-5
"MELV","07381495","3045","NO23","1991",2021,"WRTDS_FNG",0,-25,15,0,-36,15
"MELV","07381495","3045","NO23","2001",2021,"WRTDS_FNG",-14,-37,2,-13,-44,1
"MELV","07381495","3045","NO23","2011",2021,"WRTDS_FNG",-19,-40,-4,-19,-46,-3
"MELV","07381495","3045","OP","1991",2021,"WRTDS_FNG",24,2,40,20,-3,37
"MELV","07381495","3045","OP","2001",2021,"WRTDS_FNG",9,-9,21,7,-12,17
"MELV","07381495","3045","OP","2011",2021,"WRTDS_FNG",-10,-24,1,-10,-26,-1
"MELV","07381495","3045","SI","1981",2021,"WRTDS_FNG",8,0,14,7,-5,14
"MELV","07381495","3045","SI","1991",2021,"WRTDS_FNG",17,8,24,16,4,24
"MELV","07381495","3045","SI","2001",2021,"WRTDS_FNG",25,15,31,21,7,28
"MELV","07381495","3045","SI","2011",2021,"WRTDS_FNG",7,-3,12,6,-6,12
"MELV","07381495","3045","SSC","1981",2021,"WRTDS_FNG",-55,-75,-11,-58,-77,-26
"MELV","07381495","3045","SSC","1991",2021,"WRTDS_FNG",-58,-73,-43,-58,-73,-43
"MELV","07381495","3045","SSC","2001",2021,"WRTDS_FNG",-40,-59,-23,-38,-55,-22
"MELV","07381495","3045","SSC","2011",2021,"WRTDS_FNG",-20,-39,-4,-18,-36,-5
"MELV","07381495","3045","TDS","1981",2021,"WRTDS_FNG",1,-9,10,-5,-18,4
"MELV","07381495","3045","TDS","1991",2021,"WRTDS_FNG",3,-8,12,-3,-16,7
"MELV","07381495","3045","TDS","2001",2021,"WRTDS_FNG",4,-6,14,0,-12,10
"MELV","07381495","3045","TDS","2011",2021,"WRTDS_FNG",-2,-12,8,-4,-17,7
"MELV","07381495","3045","TN","1980-1996",2021,"WRTDS_FNG",-28,-37,-21,-29,-41,-21
"MELV","07381495","3045","TN","1981",2021,"WRTDS_FNG",-38,-49,-25,-38,-51,-25
"MELV","07381495","3045","TN","1991",2021,"WRTDS_FNG",-22,-34,-10,-22,-36,-10
"MELV","07381495","3045","TN","2001",2021,"WRTDS_FNG",-32,-46,-20,-32,-46,-22
"MELV","07381495","3045","TN","2011",2021,"WRTDS_FNG",-32,-46,-22,-31,-47,-20
"MELV","07381495","3045","TP","1980-1996",2021,"WRTDS_FNG",2,-10,13,0,-11,10
"MELV","07381495","3045","TP","1981",2021,"WRTDS_FNG",-8,-25,6,-9,-25,4
"MELV","07381495","3045","TP","1991",2021,"WRTDS_FNG",7,-8,21,5,-9,17
"MELV","07381495","3045","TP","2001",2021,"WRTDS_FNG",-6,-19,7,-5,-18,7
"MELV","07381495","3045","TP","2011",2021,"WRTDS_FNG",-15,-26,-3,-15,-25,-3
"MELV","07381495","3045","CHL","1981",2021,"WRTDS_FNS",-8,-23,6,-14,-32,1
"MELV","07381495","3045","CHL","1991",2021,"WRTDS_FNS",-9,-24,7,-11,-29,6
"MELV","07381495","3045","CHL","2001",2021,"WRTDS_FNS",4,-13,20,0,-19,19
"MELV","07381495","3045","CHL","2011",2021,"WRTDS_FNS",8,-10,25,5,-16,24
"MELV","07381495","3045","DOC","2001",2021,"WRTDS_FNS",-5,-13,3,-5,-13,2
"MELV","07381495","3045","DOC","2011",2021,"WRTDS_FNS",-4,-12,4,-4,-12,3
"MELV","07381495","3045","NH3","1981",2021,"WRTDS_FNS",-81,-112,-34,-81,-109,-38
"MELV","07381495","3045","NH3","1991",2021,"WRTDS_FNS",-64,-82,-51,-61,-80,-47
"MELV","07381495","3045","NH3","2001",2021,"WRTDS_FNS",-34,-65,-8,-29,-59,-5
"MELV","07381495","3045","NH3","2011",2021,"WRTDS_FNS",-19,-60,5,-11,-50,14
"MELV","07381495","3045","NO23","1981",2021,"WRTDS_FNS",-23,-43,-9,-21,-48,-5
"MELV","07381495","3045","NO23","1991",2021,"WRTDS_FNS",-4,-28,11,-1,-37,14
"MELV","07381495","3045","NO23","2001",2021,"WRTDS_FNS",-16,-40,-1,-14,-44,1
"MELV","07381495","3045","NO23","2011",2021,"WRTDS_FNS",-19,-40,-4,-19,-46,-3
"MELV","07381495","3045","OP","1991",2021,"WRTDS_FNS",19,-3,36,19,-3,35
"MELV","07381495","3045","OP","2001",2021,"WRTDS_FNS",4,-12,16,6,-14,17
"MELV","07381495","3045","OP","2011",2021,"WRTDS_FNS",-10,-24,1,-10,-26,-1
"MELV","07381495","3045","SI","1981",2021,"WRTDS_FNS",5,-3,11,6,-5,13
"MELV","07381495","3045","SI","1991",2021,"WRTDS_FNS",13,4,20,15,3,22
"MELV","07381495","3045","SI","2001",2021,"WRTDS_FNS",20,10,27,20,6,27
"MELV","07381495","3045","SI","2011",2021,"WRTDS_FNS",7,-2,12,6,-6,12
"MELV","07381495","3045","SSC","1981",2021,"WRTDS_FNS",-57,-78,-12,-59,-79,-24
"MELV","07381495","3045","SSC","1991",2021,"WRTDS_FNS",-61,-75,-46,-58,-73,-44
"MELV","07381495","3045","SSC","2001",2021,"WRTDS_FNS",-44,-62,-27,-39,-57,-23
"MELV","07381495","3045","SSC","2011",2021,"WRTDS_FNS",-20,-39,-4,-19,-36,-5
"MELV","07381495","3045","TDS","1981",2021,"WRTDS_FNS",-1,-11,8,-5,-17,5
"MELV","07381495","3045","TDS","1991",2021,"WRTDS_FNS",0,-10,10,-2,-15,8
"MELV","07381495","3045","TDS","2001",2021,"WRTDS_FNS",2,-8,11,0,-12,11
"MELV","07381495","3045","TDS","2011",2021,"WRTDS_FNS",-2,-12,8,-4,-17,7
"MELV","07381495","3045","TN","1980-1996",2021,"WRTDS_FNS",-32,-41,-24,-30,-42,-22
"MELV","07381495","3045","TN","1981",2021,"WRTDS_FNS",-40,-50,-27,-38,-51,-25
"MELV","07381495","3045","TN","1991",2021,"WRTDS_FNS",-25,-37,-13,-22,-37,-11
"MELV","07381495","3045","TN","2001",2021,"WRTDS_FNS",-34,-48,-21,-32,-46,-22
"MELV","07381495","3045","TN","2011",2021,"WRTDS_FNS",-32,-45,-21,-31,-47,-20
"MELV","07381495","3045","TP","1980-1996",2021,"WRTDS_FNS",-1,-13,10,0,-12,9
"MELV","07381495","3045","TP","1981",2021,"WRTDS_FNS",-11,-28,3,-9,-26,4
"MELV","07381495","3045","TP","1991",2021,"WRTDS_FNS",4,-11,18,4,-10,16
"MELV","07381495","3045","TP","2001",2021,"WRTDS_FNS",-10,-22,3,-6,-18,6
"MELV","07381495","3045","TP","2011",2021,"WRTDS_FNS",-15,-26,-2,-15,-25,-3
"GULF","GULF","GULF","TN",NA,2021,"WRTDS_FNG",-23,-32,-19,NA,NA,NA
"GULF","GULF","GULF","TP",NA,2021,"WRTDS_FNG",3,-7,15,NA,NA,NA
"GULF","GULF","GULF","TN",NA,2021,"WRTDS_FNS",-26,-35,-22,NA,NA,NA
"GULF","GULF","GULF","TP",NA,2021,"WRTDS_FNS",1,-9,12,NA,NA,NA
